"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2023 14:00 - 01.01.2023 15:00 (UTC)","353","n/e","n/e","n/e","139","0","n/e","n/e","n/e","n/e","209","549","909","688","n/e","n/e","25","n/e","271","n/e","6","3957"
"Portugal (PT)","01.01.2023 15:00 - 01.01.2023 16:00 (UTC)","369","n/e","n/e","n/e","140","0","n/e","n/e","n/e","n/e","502","117","988","784","n/e","n/e","27","n/e","136","n/e","3","3617"
"Portugal (PT)","01.01.2023 16:00 - 01.01.2023 17:00 (UTC)","361","n/e","n/e","n/e","161","0","n/e","n/e","n/e","n/e","649","61","1055","1070","n/e","n/e","27","n/e","53","n/e","2","3109"
"Portugal (PT)","01.01.2023 17:00 - 01.01.2023 18:00 (UTC)","348","n/e","n/e","n/e","230","0","n/e","n/e","n/e","n/e","1561","60","1476","1314","n/e","n/e","27","n/e","1","n/e","3","2456"
"Portugal (PT)","01.01.2023 18:00 - 01.01.2023 19:00 (UTC)","348","n/e","n/e","n/e","295","0","n/e","n/e","n/e","n/e","2459","59","1737","1369","n/e","n/e","25","n/e","0","n/e","6","2014"
"Portugal (PT)","01.01.2023 19:00 - 01.01.2023 20:00 (UTC)","348","n/e","n/e","n/e","296","0","n/e","n/e","n/e","n/e","2526","59","1725","1350","n/e","n/e","27","n/e","0","n/e","4","2009"
"Portugal (PT)","01.01.2023 20:00 - 01.01.2023 21:00 (UTC)","351","n/e","n/e","n/e","297","0","n/e","n/e","n/e","n/e","2279","153","1737","1304","n/e","n/e","27","n/e","0","n/e","7","2182"
"Portugal (PT)","01.01.2023 21:00 - 01.01.2023 22:00 (UTC)","350","n/e","n/e","n/e","179","0","n/e","n/e","n/e","n/e","1910","243","1716","1315","n/e","n/e","26","n/e","0","n/e","6","2362"
"Portugal (PT)","01.01.2023 22:00 - 01.01.2023 23:00 (UTC)","352","n/e","n/e","n/e","140","0","n/e","n/e","n/e","n/e","1611","291","1694","1358","n/e","n/e","25","n/e","0","n/e","3","2042"
"Portugal (PT)","01.01.2023 23:00 - 02.01.2023 00:00 (UTC)","351","n/e","n/e","n/e","133","0","n/e","n/e","n/e","n/e","890","404","1908","889","n/e","n/e","26","n/e","0","n/e","3","1500"
"Portugal (PT)","02.01.2023 00:00 - 02.01.2023 01:00 (UTC)","344","n/e","n/e","n/e","133","0","n/e","n/e","n/e","n/e","850","404","1468","892","n/e","n/e","27","n/e","0","n/e","4","1078"
"Portugal (PT)","02.01.2023 01:00 - 02.01.2023 02:00 (UTC)","344","n/e","n/e","n/e","134","0","n/e","n/e","n/e","n/e","722","382","1278","941","n/e","n/e","26","n/e","0","n/e","2","850"
"Portugal (PT)","02.01.2023 02:00 - 02.01.2023 03:00 (UTC)","351","n/e","n/e","n/e","135","0","n/e","n/e","n/e","n/e","810","336","1153","913","n/e","n/e","26","n/e","0","n/e","3","808"
"Portugal (PT)","02.01.2023 03:00 - 02.01.2023 04:00 (UTC)","346","n/e","n/e","n/e","196","0","n/e","n/e","n/e","n/e","904","404","1199","889","n/e","n/e","22","n/e","0","n/e","1","890"
"Portugal (PT)","02.01.2023 04:00 - 02.01.2023 05:00 (UTC)","345","n/e","n/e","n/e","379","0","n/e","n/e","n/e","n/e","840","389","1397","834","n/e","n/e","23","n/e","0","n/e","2","941"
"Portugal (PT)","02.01.2023 05:00 - 02.01.2023 06:00 (UTC)","349","n/e","n/e","n/e","797","0","n/e","n/e","n/e","n/e","890","84","1484","934","n/e","n/e","24","n/e","0","n/e","1","914"
"Portugal (PT)","02.01.2023 06:00 - 02.01.2023 07:00 (UTC)","354","n/e","n/e","n/e","1070","0","n/e","n/e","n/e","n/e","845","165","1579","1014","n/e","n/e","24","n/e","0","n/e","0","885"
"Portugal (PT)","02.01.2023 07:00 - 02.01.2023 08:00 (UTC)","346","n/e","n/e","n/e","1259","0","n/e","n/e","n/e","n/e","1462","61","1820","1169","n/e","n/e","25","n/e","1","n/e","0","697"
"Portugal (PT)","02.01.2023 08:00 - 02.01.2023 09:00 (UTC)","338","n/e","n/e","n/e","1368","0","n/e","n/e","n/e","n/e","1648","60","2052","1314","n/e","n/e","25","n/e","107","n/e","1","552"
"Portugal (PT)","02.01.2023 09:00 - 02.01.2023 10:00 (UTC)","334","n/e","n/e","n/e","1551","0","n/e","n/e","n/e","n/e","1631","62","2043","1295","n/e","n/e","24","n/e","366","n/e","1","345"
"Portugal (PT)","02.01.2023 10:00 - 02.01.2023 11:00 (UTC)","338","n/e","n/e","n/e","1622","0","n/e","n/e","n/e","n/e","1387","243","1929","1274","n/e","n/e","23","n/e","591","n/e","2","227"
"Portugal (PT)","02.01.2023 11:00 - 02.01.2023 12:00 (UTC)","341","n/e","n/e","n/e","1402","0","n/e","n/e","n/e","n/e","1434","289","2085","1280","n/e","n/e","24","n/e","838","n/e","1","233"
"Portugal (PT)","02.01.2023 12:00 - 02.01.2023 13:00 (UTC)","346","n/e","n/e","n/e","1386","0","n/e","n/e","n/e","n/e","1454","298","2104","1256","n/e","n/e","25","n/e","981","n/e","0","256"
"Portugal (PT)","02.01.2023 13:00 - 02.01.2023 14:00 (UTC)","353","n/e","n/e","n/e","1408","0","n/e","n/e","n/e","n/e","1455","345","2090","1308","n/e","n/e","28","n/e","915","n/e","0","215"
"Portugal (PT)","02.01.2023 14:00 - 02.01.2023 15:00 (UTC)","347","n/e","n/e","n/e","1412","0","n/e","n/e","n/e","n/e","1451","244","2081","1301","n/e","n/e","27","n/e","826","n/e","0","190"
"Portugal (PT)","02.01.2023 15:00 - 02.01.2023 16:00 (UTC)","349","n/e","n/e","n/e","1482","0","n/e","n/e","n/e","n/e","1520","59","2066","1334","n/e","n/e","28","n/e","623","n/e","0","238"
"Portugal (PT)","02.01.2023 16:00 - 02.01.2023 17:00 (UTC)","344","n/e","n/e","n/e","1490","0","n/e","n/e","n/e","n/e","1904","1","2184","1316","n/e","n/e","27","n/e","238","n/e","0","259"
"Portugal (PT)","02.01.2023 17:00 - 02.01.2023 18:00 (UTC)","342","n/e","n/e","n/e","1570","0","n/e","n/e","n/e","n/e","1872","1","2238","1279","n/e","n/e","25","n/e","9","n/e","0","337"
"Portugal (PT)","02.01.2023 18:00 - 02.01.2023 19:00 (UTC)","348","n/e","n/e","n/e","1565","0","n/e","n/e","n/e","n/e","2014","1","2241","1267","n/e","n/e","26","n/e","0","n/e","0","372"
"Portugal (PT)","02.01.2023 19:00 - 02.01.2023 20:00 (UTC)","348","n/e","n/e","n/e","1572","0","n/e","n/e","n/e","n/e","1961","1","2084","1294","n/e","n/e","26","n/e","0","n/e","0","344"
"Portugal (PT)","02.01.2023 20:00 - 02.01.2023 21:00 (UTC)","352","n/e","n/e","n/e","1570","0","n/e","n/e","n/e","n/e","1818","1","2087","1289","n/e","n/e","28","n/e","0","n/e","0","370"
"Portugal (PT)","02.01.2023 21:00 - 02.01.2023 22:00 (UTC)","353","n/e","n/e","n/e","1554","0","n/e","n/e","n/e","n/e","1641","1","2089","1288","n/e","n/e","28","n/e","0","n/e","0","391"
"Portugal (PT)","02.01.2023 22:00 - 02.01.2023 23:00 (UTC)","353","n/e","n/e","n/e","1421","0","n/e","n/e","n/e","n/e","1414","1","2093","1229","n/e","n/e","26","n/e","0","n/e","0","353"
"Portugal (PT)","02.01.2023 23:00 - 03.01.2023 00:00 (UTC)","350","n/e","n/e","n/e","1176","0","n/e","n/e","n/e","n/e","679","35","1915","1132","n/e","n/e","25","n/e","0","n/e","1","405"
"Portugal (PT)","03.01.2023 00:00 - 03.01.2023 01:00 (UTC)","339","n/e","n/e","n/e","1097","0","n/e","n/e","n/e","n/e","668","461","1885","1169","n/e","n/e","26","n/e","0","n/e","1","441"
"Portugal (PT)","03.01.2023 01:00 - 03.01.2023 02:00 (UTC)","339","n/e","n/e","n/e","1108","0","n/e","n/e","n/e","n/e","619","687","1885","1079","n/e","n/e","26","n/e","0","n/e","2","468"
"Portugal (PT)","03.01.2023 02:00 - 03.01.2023 03:00 (UTC)","343","n/e","n/e","n/e","1099","0","n/e","n/e","n/e","n/e","568","946","1891","1086","n/e","n/e","26","n/e","0","n/e","4","528"
"Portugal (PT)","03.01.2023 03:00 - 03.01.2023 04:00 (UTC)","343","n/e","n/e","n/e","1105","0","n/e","n/e","n/e","n/e","691","874","2015","1124","n/e","n/e","27","n/e","0","n/e","4","593"
"Portugal (PT)","03.01.2023 04:00 - 03.01.2023 05:00 (UTC)","340","n/e","n/e","n/e","1158","0","n/e","n/e","n/e","n/e","684","660","2017","1299","n/e","n/e","25","n/e","0","n/e","4","559"
"Portugal (PT)","03.01.2023 05:00 - 03.01.2023 06:00 (UTC)","340","n/e","n/e","n/e","1373","0","n/e","n/e","n/e","n/e","669","135","1996","1175","n/e","n/e","25","n/e","0","n/e","4","560"
"Portugal (PT)","03.01.2023 06:00 - 03.01.2023 07:00 (UTC)","343","n/e","n/e","n/e","1567","0","n/e","n/e","n/e","n/e","910","82","2279","1281","n/e","n/e","24","n/e","0","n/e","5","555"
"Portugal (PT)","03.01.2023 07:00 - 03.01.2023 08:00 (UTC)","346","n/e","n/e","n/e","1625","0","n/e","n/e","n/e","n/e","1547","1","2250","1324","n/e","n/e","26","n/e","1","n/e","5","499"
"Portugal (PT)","03.01.2023 08:00 - 03.01.2023 09:00 (UTC)","346","n/e","n/e","n/e","1726","0","n/e","n/e","n/e","n/e","2045","1","2299","1366","n/e","n/e","27","n/e","172","n/e","5","442"
"Portugal (PT)","03.01.2023 09:00 - 03.01.2023 10:00 (UTC)","342","n/e","n/e","n/e","1843","0","n/e","n/e","n/e","n/e","1194","36","2271","1232","n/e","n/e","26","n/e","620","n/e","4","369"
"Portugal (PT)","03.01.2023 10:00 - 03.01.2023 11:00 (UTC)","345","n/e","n/e","n/e","1901","0","n/e","n/e","n/e","n/e","805","276","2297","1158","n/e","n/e","28","n/e","949","n/e","5","278"
"Portugal (PT)","03.01.2023 11:00 - 03.01.2023 12:00 (UTC)","349","n/e","n/e","n/e","1997","0","n/e","n/e","n/e","n/e","606","932","2296","1107","n/e","n/e","28","n/e","1092","n/e","3","205"
"Portugal (PT)","03.01.2023 12:00 - 03.01.2023 13:00 (UTC)","351","n/e","n/e","n/e","2142","0","n/e","n/e","n/e","n/e","601","1064","2258","1164","n/e","n/e","28","n/e","1158","n/e","2","174"
"Portugal (PT)","03.01.2023 13:00 - 03.01.2023 14:00 (UTC)","351","n/e","n/e","n/e","2132","0","n/e","n/e","n/e","n/e","590","1176","2218","1284","n/e","n/e","27","n/e","1137","n/e","4","184"
"Portugal (PT)","03.01.2023 14:00 - 03.01.2023 15:00 (UTC)","354","n/e","n/e","n/e","2023","0","n/e","n/e","n/e","n/e","641","682","2245","1231","n/e","n/e","27","n/e","1015","n/e","3","240"
"Portugal (PT)","03.01.2023 15:00 - 03.01.2023 16:00 (UTC)","360","n/e","n/e","n/e","2036","0","n/e","n/e","n/e","n/e","607","719","2265","1190","n/e","n/e","28","n/e","735","n/e","2","242"
"Portugal (PT)","03.01.2023 16:00 - 03.01.2023 17:00 (UTC)","359","n/e","n/e","n/e","2418","0","n/e","n/e","n/e","n/e","1268","62","2281","1367","n/e","n/e","27","n/e","277","n/e","1","246"
"Portugal (PT)","03.01.2023 17:00 - 03.01.2023 18:00 (UTC)","348","n/e","n/e","n/e","2590","0","n/e","n/e","n/e","n/e","2418","61","2284","1369","n/e","n/e","26","n/e","10","n/e","0","316"
"Portugal (PT)","03.01.2023 18:00 - 03.01.2023 19:00 (UTC)","337","n/e","n/e","n/e","2825","0","n/e","n/e","n/e","n/e","2081","61","2228","1394","n/e","n/e","26","n/e","0","n/e","0","420"
"Portugal (PT)","03.01.2023 19:00 - 03.01.2023 20:00 (UTC)","333","n/e","n/e","n/e","2711","0","n/e","n/e","n/e","n/e","2089","60","2238","1432","n/e","n/e","27","n/e","0","n/e","0","492"
"Portugal (PT)","03.01.2023 20:00 - 03.01.2023 21:00 (UTC)","334","n/e","n/e","n/e","2658","0","n/e","n/e","n/e","n/e","1587","1","2212","1408","n/e","n/e","29","n/e","0","n/e","0","533"
"Portugal (PT)","03.01.2023 21:00 - 03.01.2023 22:00 (UTC)","332","n/e","n/e","n/e","2511","0","n/e","n/e","n/e","n/e","961","154","2216","1360","n/e","n/e","28","n/e","0","n/e","1","503"
"Portugal (PT)","03.01.2023 22:00 - 03.01.2023 23:00 (UTC)","328","n/e","n/e","n/e","2391","0","n/e","n/e","n/e","n/e","792","668","2225","1290","n/e","n/e","27","n/e","0","n/e","1","474"
"Portugal (PT)","03.01.2023 23:00 - 04.01.2023 00:00 (UTC)","329","n/e","n/e","n/e","1939","0","n/e","n/e","n/e","n/e","777","80","2272","1195","n/e","n/e","26","n/e","0","n/e","1","387"
"Portugal (PT)","04.01.2023 00:00 - 04.01.2023 01:00 (UTC)","327","n/e","n/e","n/e","1287","0","n/e","n/e","n/e","n/e","701","170","2255","1162","n/e","n/e","27","n/e","0","n/e","2","312"
"Portugal (PT)","04.01.2023 01:00 - 04.01.2023 02:00 (UTC)","321","n/e","n/e","n/e","1069","0","n/e","n/e","n/e","n/e","617","246","2046","1160","n/e","n/e","28","n/e","0","n/e","1","304"
"Portugal (PT)","04.01.2023 02:00 - 04.01.2023 03:00 (UTC)","328","n/e","n/e","n/e","1102","0","n/e","n/e","n/e","n/e","447","489","2021","1290","n/e","n/e","28","n/e","0","n/e","1","269"
"Portugal (PT)","04.01.2023 03:00 - 04.01.2023 04:00 (UTC)","329","n/e","n/e","n/e","1093","0","n/e","n/e","n/e","n/e","571","621","2029","1292","n/e","n/e","28","n/e","0","n/e","0","307"
"Portugal (PT)","04.01.2023 04:00 - 04.01.2023 05:00 (UTC)","324","n/e","n/e","n/e","1035","0","n/e","n/e","n/e","n/e","643","627","2010","1248","n/e","n/e","27","n/e","0","n/e","0","322"
"Portugal (PT)","04.01.2023 05:00 - 04.01.2023 06:00 (UTC)","329","n/e","n/e","n/e","1126","0","n/e","n/e","n/e","n/e","646","529","1822","1308","n/e","n/e","28","n/e","0","n/e","1","340"
"Portugal (PT)","04.01.2023 06:00 - 04.01.2023 07:00 (UTC)","321","n/e","n/e","n/e","1487","0","n/e","n/e","n/e","n/e","710","840","1873","1205","n/e","n/e","26","n/e","0","n/e","1","402"
"Portugal (PT)","04.01.2023 07:00 - 04.01.2023 08:00 (UTC)","327","n/e","n/e","n/e","1623","0","n/e","n/e","n/e","n/e","2001","1","2318","1342","n/e","n/e","27","n/e","1","n/e","1","438"
"Portugal (PT)","04.01.2023 08:00 - 04.01.2023 09:00 (UTC)","324","n/e","n/e","n/e","1611","0","n/e","n/e","n/e","n/e","2119","1","2317","1302","n/e","n/e","27","n/e","146","n/e","3","485"
"Portugal (PT)","04.01.2023 09:00 - 04.01.2023 10:00 (UTC)","315","n/e","n/e","n/e","1608","0","n/e","n/e","n/e","n/e","1406","2","1985","1267","n/e","n/e","27","n/e","583","n/e","2","451"
"Portugal (PT)","04.01.2023 10:00 - 04.01.2023 11:00 (UTC)","302","n/e","n/e","n/e","1597","0","n/e","n/e","n/e","n/e","842","2","2048","1243","n/e","n/e","28","n/e","931","n/e","1","367"
"Portugal (PT)","04.01.2023 11:00 - 04.01.2023 12:00 (UTC)","318","n/e","n/e","n/e","1607","0","n/e","n/e","n/e","n/e","570","3","1757","759","n/e","n/e","29","n/e","1098","n/e","0","244"
"Portugal (PT)","04.01.2023 12:00 - 04.01.2023 13:00 (UTC)","330","n/e","n/e","n/e","1567","0","n/e","n/e","n/e","n/e","490","166","1758","765","n/e","n/e","28","n/e","1141","n/e","0","171"
"Portugal (PT)","04.01.2023 13:00 - 04.01.2023 14:00 (UTC)","330","n/e","n/e","n/e","1461","0","n/e","n/e","n/e","n/e","699","338","1835","770","n/e","n/e","27","n/e","1118","n/e","0","140"
"Portugal (PT)","04.01.2023 14:00 - 04.01.2023 15:00 (UTC)","328","n/e","n/e","n/e","1454","0","n/e","n/e","n/e","n/e","717","68","1785","772","n/e","n/e","27","n/e","988","n/e","0","125"
"Portugal (PT)","04.01.2023 15:00 - 04.01.2023 16:00 (UTC)","328","n/e","n/e","n/e","1458","0","n/e","n/e","n/e","n/e","655","38","2016","1198","n/e","n/e","28","n/e","710","n/e","0","113"
"Portugal (PT)","04.01.2023 16:00 - 04.01.2023 17:00 (UTC)","330","n/e","n/e","n/e","1745","0","n/e","n/e","n/e","n/e","1373","140","2162","1328","n/e","n/e","28","n/e","261","n/e","0","170"
"Portugal (PT)","04.01.2023 17:00 - 04.01.2023 18:00 (UTC)","336","n/e","n/e","n/e","1574","0","n/e","n/e","n/e","n/e","2786","1","2216","1428","n/e","n/e","28","n/e","10","n/e","0","320"
"Portugal (PT)","04.01.2023 18:00 - 04.01.2023 19:00 (UTC)","340","n/e","n/e","n/e","1566","0","n/e","n/e","n/e","n/e","2703","1","2170","1425","n/e","n/e","28","n/e","0","n/e","0","402"
"Portugal (PT)","04.01.2023 19:00 - 04.01.2023 20:00 (UTC)","338","n/e","n/e","n/e","1578","0","n/e","n/e","n/e","n/e","2796","1","2170","1384","n/e","n/e","27","n/e","0","n/e","0","474"
"Portugal (PT)","04.01.2023 20:00 - 04.01.2023 21:00 (UTC)","334","n/e","n/e","n/e","1912","0","n/e","n/e","n/e","n/e","2397","1","2268","1396","n/e","n/e","29","n/e","0","n/e","1","509"
"Portugal (PT)","04.01.2023 21:00 - 04.01.2023 22:00 (UTC)","330","n/e","n/e","n/e","1733","0","n/e","n/e","n/e","n/e","1627","1","2170","1314","n/e","n/e","29","n/e","0","n/e","2","618"
"Portugal (PT)","04.01.2023 22:00 - 04.01.2023 23:00 (UTC)","330","n/e","n/e","n/e","1465","0","n/e","n/e","n/e","n/e","835","2","2077","1282","n/e","n/e","28","n/e","0","n/e","2","745"
"Portugal (PT)","04.01.2023 23:00 - 05.01.2023 00:00 (UTC)","331","n/e","n/e","n/e","1258","0","n/e","n/e","n/e","n/e","990","36","2120","1247","n/e","n/e","28","n/e","0","n/e","4","847"
"Portugal (PT)","05.01.2023 00:00 - 05.01.2023 01:00 (UTC)","333","n/e","n/e","n/e","846","0","n/e","n/e","n/e","n/e","646","245","1907","1300","n/e","n/e","29","n/e","0","n/e","0","913"
"Portugal (PT)","05.01.2023 01:00 - 05.01.2023 02:00 (UTC)","328","n/e","n/e","n/e","888","0","n/e","n/e","n/e","n/e","748","292","1755","1321","n/e","n/e","29","n/e","0","n/e","0","953"
"Portugal (PT)","05.01.2023 02:00 - 05.01.2023 03:00 (UTC)","329","n/e","n/e","n/e","832","0","n/e","n/e","n/e","n/e","700","424","1754","1228","n/e","n/e","29","n/e","0","n/e","0","1032"
"Portugal (PT)","05.01.2023 03:00 - 05.01.2023 04:00 (UTC)","326","n/e","n/e","n/e","843","0","n/e","n/e","n/e","n/e","703","590","1730","1325","n/e","n/e","28","n/e","0","n/e","0","1204"
"Portugal (PT)","05.01.2023 04:00 - 05.01.2023 05:00 (UTC)","330","n/e","n/e","n/e","935","0","n/e","n/e","n/e","n/e","708","390","1759","1356","n/e","n/e","28","n/e","0","n/e","0","1151"
"Portugal (PT)","05.01.2023 05:00 - 05.01.2023 06:00 (UTC)","336","n/e","n/e","n/e","1337","0","n/e","n/e","n/e","n/e","741","75","1965","1329","n/e","n/e","27","n/e","0","n/e","0","989"
"Portugal (PT)","05.01.2023 06:00 - 05.01.2023 07:00 (UTC)","333","n/e","n/e","n/e","1954","0","n/e","n/e","n/e","n/e","1378","109","2048","1425","n/e","n/e","27","n/e","0","n/e","0","915"
"Portugal (PT)","05.01.2023 07:00 - 05.01.2023 08:00 (UTC)","326","n/e","n/e","n/e","2349","0","n/e","n/e","n/e","n/e","1981","6","2183","1429","n/e","n/e","28","n/e","1","n/e","0","755"
"Portugal (PT)","05.01.2023 08:00 - 05.01.2023 09:00 (UTC)","333","n/e","n/e","n/e","2734","0","n/e","n/e","n/e","n/e","2429","1","2178","1444","n/e","n/e","28","n/e","135","n/e","0","616"
"Portugal (PT)","05.01.2023 09:00 - 05.01.2023 10:00 (UTC)","334","n/e","n/e","n/e","2643","0","n/e","n/e","n/e","n/e","888","3","2158","1393","n/e","n/e","29","n/e","536","n/e","0","498"
"Portugal (PT)","05.01.2023 10:00 - 05.01.2023 11:00 (UTC)","338","n/e","n/e","n/e","2592","0","n/e","n/e","n/e","n/e","749","231","2165","1380","n/e","n/e","29","n/e","867","n/e","0","349"
"Portugal (PT)","05.01.2023 11:00 - 05.01.2023 12:00 (UTC)","345","n/e","n/e","n/e","2689","0","n/e","n/e","n/e","n/e","677","279","2167","1378","n/e","n/e","29","n/e","1026","n/e","0","203"
"Portugal (PT)","05.01.2023 12:00 - 05.01.2023 13:00 (UTC)","346","n/e","n/e","n/e","2291","0","n/e","n/e","n/e","n/e","557","137","2076","1377","n/e","n/e","28","n/e","1088","n/e","0","135"
"Portugal (PT)","05.01.2023 13:00 - 05.01.2023 14:00 (UTC)","343","n/e","n/e","n/e","2247","0","n/e","n/e","n/e","n/e","558","604","2060","1376","n/e","n/e","29","n/e","1087","n/e","0","92"
"Portugal (PT)","05.01.2023 14:00 - 05.01.2023 15:00 (UTC)","344","n/e","n/e","n/e","2246","0","n/e","n/e","n/e","n/e","507","801","2043","1377","n/e","n/e","29","n/e","971","n/e","0","61"
"Portugal (PT)","05.01.2023 15:00 - 05.01.2023 16:00 (UTC)","345","n/e","n/e","n/e","2465","0","n/e","n/e","n/e","n/e","520","545","2044","1385","n/e","n/e","29","n/e","698","n/e","0","39"
"Portugal (PT)","05.01.2023 16:00 - 05.01.2023 17:00 (UTC)","340","n/e","n/e","n/e","2913","0","n/e","n/e","n/e","n/e","1522","118","2158","1413","n/e","n/e","29","n/e","262","n/e","0","58"
"Portugal (PT)","05.01.2023 17:00 - 05.01.2023 18:00 (UTC)","355","n/e","n/e","n/e","2945","0","n/e","n/e","n/e","n/e","2517","1","2159","1418","n/e","n/e","29","n/e","10","n/e","0","65"
"Portugal (PT)","05.01.2023 18:00 - 05.01.2023 19:00 (UTC)","356","n/e","n/e","n/e","3010","0","n/e","n/e","n/e","n/e","2495","1","2187","1424","n/e","n/e","30","n/e","0","n/e","0","79"
"Portugal (PT)","05.01.2023 19:00 - 05.01.2023 20:00 (UTC)","346","n/e","n/e","n/e","3002","0","n/e","n/e","n/e","n/e","2230","1","2179","1443","n/e","n/e","29","n/e","0","n/e","0","140"
"Portugal (PT)","05.01.2023 20:00 - 05.01.2023 21:00 (UTC)","327","n/e","n/e","n/e","3115","0","n/e","n/e","n/e","n/e","2463","1","2259","1482","n/e","n/e","27","n/e","0","n/e","0","114"
"Portugal (PT)","05.01.2023 21:00 - 05.01.2023 22:00 (UTC)","316","n/e","n/e","n/e","2724","0","n/e","n/e","n/e","n/e","1984","1","2142","1434","n/e","n/e","27","n/e","0","n/e","0","110"
